"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","CLIENT_ID","SESSION_KEY","LOGIN_KEY","USER_TYPE","APP_NAME","DEVICE_PLATFORM","SDK_APP_VERSION","OS_NAME","OS_VERSION","USER_AGENT","BROWSER_NAME","BROWSER_VERSION","SDK_VERSION","DEVICE_MODEL","DEVICE_ID","SDK_APP_TYPE","CLIENT_GEO","CONNECTION_TYPE","UI_EVENT_ID","UI_EVENT_SOURCE","UI_EVENT_TIMESTAMP","PAGE_START_TIME","DURATION","EFFECTIVE_PAGE_TIME_DEVIATION","EFFECTIVE_PAGE_TIME_DEVIATION_REASON","EFFECTIVE_PAGE_TIME_DEVIATION_ERROR_TYPE","EFFECTIVE_PAGE_TIME","DEVICE_SESSION_ID","UI_EVENT_SEQUENCE_NUM","PAGE_ENTITY_ID","PAGE_ENTITY_TYPE","PAGE_CONTEXT","PAGE_URL","PAGE_APP_NAME","PREVPAGE_ENTITY_ID","PREVPAGE_ENTITY_TYPE","PREVPAGE_CONTEXT","PREVPAGE_URL","PREVPAGE_APP_NAME","TARGET_UI_ELEMENT","PARENT_UI_ELEMENT","GRANDPARENT_UI_ELEMENT","TIMESTAMP_DERIVED","USER_ID_DERIVED","CLIENT_IP"
"LightningPageView","20231004083513.040","TID:760779000050ed88bb","00D8W000004Lymu","0058W00000BAlWS","","R80mh8sib0pRWwUh","tnDzzxXswMpmMBGP","Standard","one:one","SFX:BROWSER:DESKTOP","","OSX","10.15.7","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36""","CHROME","117","","","","","United States/Virginia","","ltng:pageView","","1696408510779","1696408504865","1671.0","true","InteractionBeforePageLoaded|click","","1669.0","d9b950a231b77f7b","1","","","onesetup:baseHomePage","/lightning/setup/SetupOneHome/home","all","","","undefined","","","","","","2023-10-04T08:35:13.040Z","0058W00000BAlWSQA1","Salesforce.com IP"
"LightningPageView","20231004083546.783","TID:415932900000daf80d","00D8W000004Lymu","0058W00000BAlWS","","R80mh8sib0pRWwUh","tnDzzxXswMpmMBGP","Standard","one:one","SFX:BROWSER:DESKTOP","","OSX","10.15.7","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36""","CHROME","117","","","","","United States/Virginia","","ltng:pageView","","1696408545853","1696408504865","601.0","false","","","600.0","d9b950a231b77f7b","2","","","usage_app:lightningUsageSetup","/lightning/setup/LightningUsageSetup/home","all","","","onesetup:baseHomePage","/lightning/setup/SetupOneHome/home","all","","","","2023-10-04T08:35:46.783Z","0058W00000BAlWSQA1","Salesforce.com IP"
"LightningPageView","20231004083638.187","TID:337940000031008e79","00D8W000004Lymu","0058W00000BAlWS","","R80mh8sib0pRWwUh","tnDzzxXswMpmMBGP","Standard","one:one","SFX:BROWSER:DESKTOP","","OSX","10.15.7","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36""","CHROME","117","","","","","United States/Virginia","","ltng:pageView","","1696408595707","1696408594397","2048.0","false","","","2046.0","4063935bb3161cf4","1","","","usage_app:lightningUsageSwitcher","/lightning/page/usage","LightningSales","","","undefined","","","","","","2023-10-04T08:36:38.187Z","0058W00000BAlWSQA1","Salesforce.com IP"
"LightningPageView","20231004083648.062","TID:131252900001a75ad2","00D8W000004Lymu","0058W00000BAlWS","","R80mh8sib0pRWwUh","tnDzzxXswMpmMBGP","Standard","one:one","SFX:BROWSER:DESKTOP","","OSX","10.15.7","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36""","CHROME","117","","","","","United States/Virginia","","ltng:pageView","","1696408607434","1696408594397","84.0","false","","","83.0","4063935bb3161cf4","2","","","usage_app:lightningUsageSwitcher","/lightning/page/usage?lua__tab=Page","LightningSales","","","usage_app:lightningUsageSwitcher","/lightning/page/usage","LightningSales","","","","2023-10-04T08:36:48.062Z","0058W00000BAlWSQA1","Salesforce.com IP"
"LightningPageView","20231004092550.348","TID:46644000000b6cc0b1","00D8W000004Lymu","0058W00000BAlWS","","SyawqZAGfSFnpCrD","sZ/mCQ3sLvDHNi3m","Standard","one:one","SFX:BROWSER:DESKTOP","","OSX","10.15.7","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36""","CHROME","117","","","","","United States/Virginia","","ltng:pageView","","1696411549197","1696411545205","649.0","false","","","646.0","d677f3d5abd1ce96","1","","","setup_platformServices_eventMonitoring:eventMonitoring","/lightning/setup/EventMonitoringSetup/home","all","","","undefined","","","","","","2023-10-04T09:25:50.348Z","0058W00000BAlWSQA1","Salesforce.com IP"
"LightningPageView","20231004092602.778","TID:1720160000049736b3","00D8W000004Lymu","0058W00000BAlWS","","SyawqZAGfSFnpCrD","sZ/mCQ3sLvDHNi3m","Standard","one:one","SFX:BROWSER:DESKTOP","","OSX","10.15.7","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36""","CHROME","117","","","","","United States/Virginia","","ltng:pageView","","1696411561953","1696411545205","449.0","false","","","448.0","d677f3d5abd1ce96","2","","","usage_app:lightningUsageSetup","/lightning/setup/LightningUsageSetup/home","all","","","setup_platformServices_eventMonitoring:eventMonitoring","/lightning/setup/EventMonitoringSetup/home","all","","","","2023-10-04T09:26:02.778Z","0058W00000BAlWSQA1","Salesforce.com IP"
